発注伝票№,製番,製品№,ﾕﾆｯﾄ№,部品№,品番,図番,改訂,品名,形式寸法,発注日,納期,回答納期,確定納期,納入完了日,検収完了日,手配,仕入先,発注数,納入数,発注残数,検収累計数,未検収数,納入場所,備考,品番分類
302041,3804-00,3804-00,B,#100,,XAL607-0111A,,支柱,,2025/3/17 0:00,2025/5/8 0:00,2025/5/8 0:00,2025/5/8 0:00,2025/5/8 0:00,,外注加工,㈱日星ｸﾘｴｲﾄ,2,2,0,0,2,,,部品
302042,3804-00,3804-00,B,#100,,XAL607-0112A,,支柱,,2025/3/17 0:00,2025/5/8 0:00,2025/5/8 0:00,2025/5/8 0:00,2025/5/8 0:00,,外注加工,㈱日星ｸﾘｴｲﾄ,14,14,0,0,14,,,部品
302043,3804-00,3804-00,B,#200,,XAL607-0216,,ｼｬﾌﾄ,,2025/3/17 0:00,2025/5/8 0:00,2025/5/8 0:00,2025/5/8 0:00,2025/5/8 0:00,,外注加工,㈱日星ｸﾘｴｲﾄ,2,2,0,0,2,,,部品
302044,3804-00,3804-00,B,#200,,XAL607-0220,,ﾌﾟｰﾘ,,2025/3/17 0:00,2025/5/8 0:00,2025/5/8 0:00,2025/5/8 0:00,2025/5/8 0:00,,外注加工,㈱日星ｸﾘｴｲﾄ,5,5,0,0,5,,,部品
302045,3804-00,3804-00,B,#400,,XAL607-0411,,支柱,,2025/3/17 0:00,2025/5/8 0:00,2025/5/8 0:00,2025/5/8 0:00,2025/5/8 0:00,,外注加工,㈱日星ｸﾘｴｲﾄ,2,2,0,0,2,,,部品
302046,3804-00,3804-00,B,#400,,XAL607-0412,,支柱,,2025/3/17 0:00,2025/5/8 0:00,2025/5/8 0:00,2025/5/8 0:00,2025/5/8 0:00,,外注加工,㈱日星ｸﾘｴｲﾄ,2,2,0,0,2,,,部品
302047,3804-00,3804-00,B,#400,,XAL607-0419,,ﾄﾞｸﾞ取付,,2025/3/17 0:00,2025/5/8 0:00,2025/5/8 0:00,2025/5/8 0:00,2025/5/8 0:00,,外注加工,㈱日星ｸﾘｴｲﾄ,1,1,0,0,1,,,部品
302048,3804-00,3804-00,B,#400,,XAL607-0421,,ｽﾄｯﾊﾟﾎﾙﾀﾞ,,2025/3/17 0:00,2025/5/8 0:00,2025/5/8 0:00,2025/5/8 0:00,2025/5/8 0:00,,外注加工,㈱日星ｸﾘｴｲﾄ,1,1,0,0,1,,,部品
302049,3804-00,3804-00,B,#500,,XAL607-0419,,ﾄﾞｸﾞ取付,,2025/3/17 0:00,2025/5/8 0:00,2025/5/8 0:00,2025/5/8 0:00,2025/5/8 0:00,,外注加工,㈱日星ｸﾘｴｲﾄ,1,1,0,0,1,,,部品
302050,3804-00,3804-00,B,#500,,XAL607-0421,,ｽﾄｯﾊﾟﾎﾙﾀﾞ,,2025/3/17 0:00,2025/5/8 0:00,2025/5/8 0:00,2025/5/8 0:00,2025/5/8 0:00,,外注加工,㈱日星ｸﾘｴｲﾄ,1,1,0,0,1,,,部品
302051,3804-00,3804-00,B,#500,,XAL607-0511,,支柱,,2025/3/17 0:00,2025/5/8 0:00,2025/5/8 0:00,2025/5/8 0:00,2025/5/8 0:00,,外注加工,㈱日星ｸﾘｴｲﾄ,2,2,0,0,2,,,部品
302052,3804-00,3804-00,B,#500,,XAL607-0512,,支柱,,2025/3/17 0:00,2025/5/8 0:00,2025/5/8 0:00,2025/5/8 0:00,2025/5/8 0:00,,外注加工,㈱日星ｸﾘｴｲﾄ,2,2,0,0,2,,,部品
302080,3804-00,3804-00,B,#500,,XAL607-0533,,補強ﾘﾌﾞ1,,2025/3/17 0:00,2025/5/13 0:00,,2025/5/13 0:00,2025/5/13 0:00,,外注加工,㈲山喜工業,2,2,0,0,2,,,部品
